max-steps,normaliser,mix-up,acc,c_prim
160,0.00001,100,0.885,0.149
160,0.00001,150,0.874,0.161
160,0.00001,200,0.881,0.153
160,0.00001,250,0.880,0.155
160,0.00001,300,0.878,0.157
160,0.0001,19,0.885,0.151
160,0.0001,50,0.891,0.143
160,0.0001,100,0.890,0.144
160,0.0001,150,0.890,0.144
160,0.0001,200,0.886,0.150
160,0.0001,250,0.889,0.145
160,0.0001,300,0.879,0.159
160,0.001,19,0.895,0.138
160,0.001,50,0.895,0.138
160,0.001,100,0.895,0.138
160,0.001,150,0.894,0.139
160,0.001,200,0.895,0.138
160,0.001,250,0.896,0.137
160,0.001,300,0.896,0.138
160,0.01,19,0.890,0.147
160,0.01,50,0.890,0.147
160,0.01,100,0.890,0.147
160,0.01,150,0.890,0.147
160,0.01,200,0.890,0.147
160,0.01,250,0.890,0.148
160,0.01,300,0.890,0.148
180,0,19,0.876,0.165
180,0,50,0.883,0.155
180,0,100,0.877,0.159
180,0,150,0.873,0.166
180,0,200,0.879,0.157
180,0,250,0.880,0.158
180,0,300,0.879,0.158
180,0.00001,19,0.878,0.159
180,0.00001,50,0.879,0.157
180,0.00001,100,0.878,0.158
180,0.00001,150,0.883,0.152
180,0.00001,200,0.881,0.155
180,0.00001,250,0.879,0.156
180,0.00001,300,0.880,0.156
180,0.0001,19,0.888,0.148
180,0.0001,50,0.891,0.143
180,0.0001,100,0.890,0.146
180,0.0001,150,0.887,0.148
180,0.0001,200,0.887,0.148
180,0.0001,250,0.882,0.156
180,0.0001,300,0.889,0.147
180,0.001,19,0.895,0.138
180,0.001,50,0.895,0.139
180,0.001,100,0.895,0.138
180,0.001,150,0.894,0.139
180,0.001,200,0.896,0.137
180,0.001,250,0.896,0.138
180,0.001,300,0.895,0.138
180,0.01,19,0.890,0.147
180,0.01,50,0.890,0.147
180,0.01,100,0.890,0.147
180,0.01,150,0.890,0.148
180,0.01,200,0.890,0.147
180,0.01,250,0.890,0.148
180,0.01,300,0.890,0.148
200,0,19,0.874,0.171
200,0,50,0.868,0.172
200,0,100,0.869,0.168
200,0,150,0.871,0.166
200,0,200,0.866,0.173
200,0,250,0.856,0.184
200,0,300,0.874,0.163
200,0.00001,19,0.880,0.158
200,0.00001,50,0.886,0.149
200,0.00001,100,0.885,0.152
200,0.00001,150,0.885,0.152
200,0.00001,200,0.880,0.157
200,0.00001,250,0.872,0.164
200,0.00001,300,0.887,0.148
200,0.0001,19,0.888,0.147
200,0.0001,50,0.889,0.144
200,0.0001,100,0.887,0.147
200,0.0001,150,0.888,0.146
200,0.0001,200,0.886,0.148
200,0.0001,250,0.884,0.150
200,0.0001,300,0.889,0.146
200,0.001,19,0.895,0.138
200,0.001,50,0.895,0.138
200,0.001,100,0.895,0.138
200,0.001,150,0.896,0.137
200,0.001,200,0.895,0.139
200,0.001,250,0.895,0.139
200,0.001,300,0.895,0.138
200,0.01,19,0.890,0.147
200,0.01,50,0.890,0.147
200,0.01,100,0.890,0.147
200,0.01,150,0.890,0.148
200,0.01,200,0.890,0.147
200,0.01,250,0.890,0.148
200,0.01,300,0.890,0.148
